iter	Passed	Remaining
0	26	26322
1	50	25440
2	74	24917
3	98	24637
4	121	24202
5	144	23913
6	168	23918
7	180	22377
8	193	21303
9	219	21695
10	244	22026
11	269	22190
12	281	21343
13	303	21401
14	315	20722
15	340	20919
16	352	20357
17	377	20581
18	401	20732
19	412	20236
20	444	20728
21	456	20304
22	480	20404
23	491	19997
24	515	20094
25	526	19728
26	550	19852
27	562	19516
28	586	19633
29	610	19728
30	633	19813
31	663	20085
32	686	20115
33	703	19983
34	720	19865
35	736	19718
36	764	19905
37	784	19867
38	802	19769
39	820	19692
40	841	19683
41	858	19587
42	882	19647
43	909	19769
44	936	19880
45	949	19689
46	974	19767
47	1001	19855
48	1025	19903
49	1038	19731
50	1051	19568
51	1074	19592
52	1086	19416
53	1112	19484
54	1138	19557
55	1150	19387
56	1175	19440
57	1188	19304
58	1213	19354
59	1238	19397
60	1263	19450
61	1287	19483
62	1314	19551
63	1339	19596
64	1364	19624
65	1387	19638
66	1400	19498
67	1423	19510
68	1436	19377
69	1460	19399
70	1471	19250
71	1495	19277
72	1546	19640
73	1559	19510
74	1584	19544
75	1620	19703
76	1646	19731
77	1672	19767
78	1691	19719
79	1719	19778
80	1746	19812
81	1772	19838
82	1797	19859
83	1822	19876
84	1846	19881
85	1860	19768
86	1873	19655
87	1885	19545
88	1911	19562
89	1938	19602
90	1965	19635
91	1991	19652
92	2016	19668
93	2042	19690
94	2067	19700
95	2094	19720
96	2118	19718
97	2142	19723
98	2167	19725
99	2193	19741
100	2216	19731
101	2231	19644
102	2251	19606
103	2263	19499
104	2290	19522
105	2314	19524
106	2326	19418
107	2351	19425
108	2376	19425
109	2391	19349
110	2405	19263
111	2418	19177
112	2432	19092
113	2459	19115
114	2484	19122
115	2497	19030
116	2522	19034
117	2546	19035
118	2574	19058
119	2586	18969
120	2599	18881
121	2612	18801
122	2636	18798
123	2647	18704
124	2673	18714
125	2696	18702
126	2707	18611
127	2718	18522
128	2742	18515
129	2766	18517
130	2791	18518
131	2803	18437
132	2830	18448
133	2842	18367
134	2866	18367
135	2890	18363
136	2908	18321
137	2925	18273
138	2940	18211
139	2952	18135
140	2976	18130
141	3000	18131
142	3015	18071
143	3039	18070
144	3060	18048
145	3077	17999
146	3095	17960
147	3113	17923
148	3142	17950
149	3161	17913
150	3183	17898
151	3201	17862
152	3238	17925
153	3253	17875
154	3268	17818
155	3299	17852
156	3328	17870
157	3357	17890
158	3371	17832
159	3386	17779
160	3399	17713
161	3425	17719
162	3450	17716
163	3474	17711
164	3486	17643
165	3498	17579
