iter	Passed	Remaining
0	138	137913
1	161	80682
2	173	57626
3	184	45913
4	195	38811
5	207	34325
6	218	30957
7	228	28394
8	240	26536
9	251	24940
10	264	23788
11	277	22818
12	288	21912
13	299	21125
14	313	20557
15	325	20008
16	337	19536
17	350	19128
18	362	18723
19	373	18288
20	384	17933
21	396	17619
22	407	17297
23	418	17018
24	428	16729
25	439	16466
26	450	16246
27	461	16027
28	474	15881
29	488	15793
30	500	15640
31	512	15491
32	522	15324
33	533	15164
34	546	15058
35	556	14901
36	567	14765
37	577	14631
38	589	14531
39	602	14456
40	614	14370
41	626	14286
42	637	14196
43	648	14095
44	659	13987
45	669	13881
46	680	13798
47	692	13725
48	703	13653
49	715	13593
50	727	13542
51	739	13483
52	751	13434
53	764	13388
54	775	13316
55	785	13240
56	796	13172
57	806	13104
58	817	13036
59	827	12967
60	840	12934
61	851	12879
62	862	12830
63	873	12776
64	883	12710
65	893	12642
66	904	12598
67	916	12562
68	926	12505
69	937	12457
70	947	12403
71	959	12362
72	971	12332
73	984	12313
74	995	12274
75	1007	12245
76	1018	12207
77	1029	12165
78	1039	12119
79	1050	12083
80	1062	12052
81	1073	12013
82	1084	11980
83	1094	11933
84	1104	11893
85	1115	11858
86	1127	11827
87	1137	11789
88	1148	11759
89	1160	11735
90	1170	11694
91	1181	11665
92	1193	11637
93	1204	11612
94	1216	11589
95	1229	11573
96	1240	11543
97	1250	11512
98	1262	11493
99	1275	11477
100	1285	11446
101	1296	11412
102	1306	11379
103	1316	11338
104	1326	11305
105	1336	11272
106	1348	11256
107	1359	11228
108	1368	11189
109	1378	11156
110	1389	11127
111	1401	11109
112	1417	11126
113	1432	11131
114	1447	11137
115	1463	11153
116	1478	11159
117	1495	11174
118	1510	11185
119	1526	11193
120	1540	11189
121	1555	11197
122	1570	11197
123	1584	11195
124	1601	11210
125	1615	11206
126	1629	11198
127	1644	11203
128	1660	11211
129	1674	11204
130	1688	11199
131	1701	11189
132	1715	11185
133	1731	11189
134	1745	11181
135	1759	11180
136	1772	11165
137	1784	11146
138	1799	11146
139	1812	11136
140	1826	11125
141	1838	11110
142	1851	11095
143	1865	11087
144	1878	11075
145	1891	11061
146	1902	11040
147	1913	11014
148	1924	10994
149	1935	10967
150	1945	10939
151	1958	10924
152	1968	10898
153	1979	10875
154	1990	10851
155	2000	10824
156	2011	10799
157	2021	10771
158	2032	10750
159	2043	10727
160	2053	10702
161	2064	10680
162	2074	10653
163	2085	10632
164	2097	10612
165	2108	10595
166	2119	10573
167	2129	10546
168	2139	10522
169	2150	10497
170	2160	10471
171	2170	10448
172	2181	10429
173	2192	10410
174	2204	10391
175	2214	10368
176	2225	10347
177	2236	10328
178	2247	10309
179	2257	10285
180	2267	10258
181	2276	10232
182	2286	10207
183	2296	10184
184	2306	10162
185	2320	10156
186	2331	10137
187	2342	10117
188	2352	10094
189	2362	10072
190	2373	10053
191	2384	10033
192	2397	10024
193	2410	10015
194	2422	9998
195	2432	9979
196	2443	9959
197	2454	9942
198	2465	9925
199	2476	9905
200	2486	9883
201	2496	9861
202	2506	9840
203	2516	9819
204	2528	9804
205	2538	9786
206	2550	9769
207	2560	9749
208	2570	9726
209	2580	9706
210	2591	9690
211	2601	9670
212	2612	9652
213	2623	9635
214	2633	9614
215	2643	9593
216	2654	9578
217	2665	9563
218	2675	9542
219	2687	9528
220	2700	9518
221	2710	9500
222	2720	9480
223	2732	9465
224	2742	9447
225	2753	9429
226	2765	9416
227	2776	9399
228	2786	9381
229	2796	9363
230	2806	9344
231	2816	9324
232	2827	9309
